Epoch 001 | beta=0.001 | train loss 0.07371 (recon 0.05512, kl 18.58840) | val loss 0.03797 (recon 0.01919, kl 18.77427)
Epoch 002 | beta=0.001 | train loss 0.04418 (recon 0.02538, kl 18.80109) | val loss 0.03406 (recon 0.01537, kl 18.69405)
Epoch 003 | beta=0.001 | train loss 0.04076 (recon 0.02207, kl 18.69670) | val loss 0.03305 (recon 0.01438, kl 18.67164)
Epoch 004 | beta=0.001 | train loss 0.03922 (recon 0.02061, kl 18.61061) | val loss 0.03184 (recon 0.01342, kl 18.42186)
Epoch 005 | beta=0.001 | train loss 0.03829 (recon 0.01974, kl 18.55669) | val loss 0.03136 (recon 0.01296, kl 18.39505)
Epoch 006 | beta=0.001 | train loss 0.03761 (recon 0.01912, kl 18.48543) | val loss 0.03098 (recon 0.01285, kl 18.13352)
Epoch 007 | beta=0.001 | train loss 0.03710 (recon 0.01867, kl 18.42489) | val loss 0.03062 (recon 0.01248, kl 18.14922)
Epoch 008 | beta=0.001 | train loss 0.03671 (recon 0.01833, kl 18.38526) | val loss 0.03049 (recon 0.01274, kl 17.75198)
Epoch 009 | beta=0.001 | train loss 0.03638 (recon 0.01804, kl 18.34086) | val loss 0.03070 (recon 0.01227, kl 18.43771)
Epoch 010 | beta=0.001 | train loss 0.03611 (recon 0.01780, kl 18.30810) | val loss 0.03001 (recon 0.01218, kl 17.82956)
Epoch 011 | beta=0.001 | train loss 0.03587 (recon 0.01759, kl 18.28784) | val loss 0.02990 (recon 0.01170, kl 18.19959)
Epoch 012 | beta=0.001 | train loss 0.03566 (recon 0.01741, kl 18.24603) | val loss 0.02982 (recon 0.01137, kl 18.44506)
Epoch 013 | beta=0.001 | train loss 0.03546 (recon 0.01724, kl 18.21847) | val loss 0.02979 (recon 0.01168, kl 18.10996)
Epoch 014 | beta=0.001 | train loss 0.03531 (recon 0.01711, kl 18.20011) | val loss 0.02940 (recon 0.01153, kl 17.87561)
Epoch 015 | beta=0.001 | train loss 0.03515 (recon 0.01699, kl 18.16594) | val loss 0.02934 (recon 0.01147, kl 17.86988)
Epoch 016 | beta=0.001 | train loss 0.03502 (recon 0.01687, kl 18.15166) | val loss 0.02931 (recon 0.01111, kl 18.19347)
Epoch 017 | beta=0.001 | train loss 0.03489 (recon 0.01677, kl 18.12129) | val loss 0.02951 (recon 0.01134, kl 18.16530)
Epoch 018 | beta=0.001 | train loss 0.03478 (recon 0.01667, kl 18.10460) | val loss 0.02914 (recon 0.01080, kl 18.33426)
Epoch 019 | beta=0.001 | train loss 0.03468 (recon 0.01659, kl 18.08834) | val loss 0.02908 (recon 0.01108, kl 18.00045)
Epoch 020 | beta=0.001 | train loss 0.03459 (recon 0.01652, kl 18.06677) | val loss 0.02893 (recon 0.01101, kl 17.92826)
Epoch 021 | beta=0.001 | train loss 0.03450 (recon 0.01644, kl 18.05678) | val loss 0.02891 (recon 0.01081, kl 18.09900)
Epoch 022 | beta=0.001 | train loss 0.03441 (recon 0.01637, kl 18.03564) | val loss 0.02884 (recon 0.01100, kl 17.84295)
Epoch 023 | beta=0.001 | train loss 0.03435 (recon 0.01631, kl 18.03088) | val loss 0.02896 (recon 0.01098, kl 17.97383)
Epoch 024 | beta=0.001 | train loss 0.03428 (recon 0.01626, kl 18.01917) | val loss 0.02902 (recon 0.01122, kl 17.80030)
Epoch 025 | beta=0.001 | train loss 0.03423 (recon 0.01621, kl 18.01515) | val loss 0.02891 (recon 0.01109, kl 17.82139)
Epoch 026 | beta=0.001 | train loss 0.03417 (recon 0.01616, kl 18.00881) | val loss 0.02874 (recon 0.01082, kl 17.92027)
Epoch 027 | beta=0.001 | train loss 0.03411 (recon 0.01611, kl 17.99945) | val loss 0.02878 (recon 0.01095, kl 17.83029)
Epoch 028 | beta=0.001 | train loss 0.03406 (recon 0.01607, kl 17.99430) | val loss 0.02839 (recon 0.01064, kl 17.75566)
Epoch 029 | beta=0.001 | train loss 0.03402 (recon 0.01603, kl 17.98762) | val loss 0.02855 (recon 0.01039, kl 18.15315)
Epoch 030 | beta=0.001 | train loss 0.03397 (recon 0.01599, kl 17.98294) | val loss 0.02845 (recon 0.01080, kl 17.65178)
